The rugs are brightly decorated in abstract patterns.	The rugs are brightly decorated in abstract patterns.
There are four, plain walls forming this enclosed yard.	There are four, plain walls forming this enclosed yard.
The ground is bone dry and covered with a pale sandy soil.	The ground is bone dry and covered with a pale sandy soil.
The most powerful smell here is that of the qahwah, which is both bitter and oddly pleasant.	The most powerful smell here is that of the qahwah, which is both bitter and oddly pleasant.
Can you not tell when you are on your own two feet?	Can you not tell when you are on your own two feet?
It would be better to pay attention, Arthur.	It would be better to pay attention, Arthur.
That would be a silly thing to carry about with you in the desert.	That would be a silly thing to carry about with you in the desert.
Al-Sirat has informed you that your mule is being cared for by Hazm.  When you leave, she will be there, as usual.	Al-Sirat has informed you that your mule is being cared for by Hazm.  When you leave, she will be there, as usual.
It should be obvious that this scholar has no money.	It should be obvious that this scholar has no money.
Only by passing the tests of the Six Guardians will you eventually find the Grail.	Only by passing the tests of the Six Guardians will you eventually find the Grail.
Are you sure, Arthur?  The qahwah is a bit TOO invigorating.  I fear you may never sleep again.	Are you sure, Arthur?  The qahwah is a bit TOO invigorating.  I fear you may never sleep again.
I am sorry, my friend, there is no more.	I am sorry, my friend, there is no more.
Thank you, I have had my fill.	Thank you, I have had my fill.
Your cup is full, Arthur.	Your cup is full, Arthur.
You ARE sitting, Arthur.	You ARE sitting, Arthur.
Jerusalem lies northeast of Gaza, but you must pass through the desert to reach it.  And you cannot survive the heat of this desert unless you find water upon the way.	Jerusalem lies northeast of Gaza, but you must pass through the desert to reach it.  And you cannot survive the heat of this desert unless you find water upon the way.
Farewell.	Farewell.
You must stand up before you can take your leave.	You must stand up before you can take your leave.
My pardons, I have only qahwah for you.	My pardons, I have only qahwah for you.
In the name of the Goddess, I bid you welcome.	In the name of the Goddess, I bid you welcome.
I am ready to answer what inquiries you put to me.  Think carefully and neglect nothing, for you will not see me again once you leave here.	I am ready to answer what inquiries you put to me.  Think carefully and neglect nothing, for you will not see me again once you leave here.
When you leave here, he will lead you by secret paths away from Gaza to the edge of the desert that you must cross.	When you leave here, he will lead you by secret paths away from Gaza to the edge of the desert that you must cross.
To walk the path that leads to truth and knowledge is all that I desire.	To walk the path that leads to truth and knowledge is all that I desire.
I cannot accept such a gift, nor do I desire it.	I cannot accept such a gift, nor do I desire it.
I have no money, but there are merchants aplenty in Jerusalem.	I have no money, but there are merchants aplenty in Jerusalem.
I have little, and nothing I choose to sell.	I have little, and nothing I choose to sell.
No words, however crude or foul, can affect me unless I allow it, which I shall not.	No words, however crude or foul, can affect me unless I allow it, which I shall not.
I do not travel in the desert and cannot give you any directions, save that Jerusalem lies northeast of Gaza.  But beware, the way through the desert is devious.	I do not travel in the desert and cannot give you any directions, save that Jerusalem lies northeast of Gaza.  But beware, the way through the desert is devious.
Hazm will pass a well as he leads you from Gaza and there you may drink.  Beyond that, I cannot help you.	Hazm will pass a well as he leads you from Gaza and there you may drink.  Beyond that, I cannot help you.
I have no waterskin to give you, I regret.	I have no waterskin to give you, I regret.
I will not part with my carafe, nor would it serve your purpose.	I will not part with my carafe, nor would it serve your purpose.
I will not part with my qahwah cups and, delicate as they are, they would not endure your journey.	I will not part with my qahwah cups and, delicate as they are, they would not endure your journey.
I will not part with my bowl.  It is the only one I have.	I will not part with my bowl.  It is the only one I have.
I will not part with my rugs.  Indeed, what you see here is nearly all I possess.	I will not part with my rugs.  Indeed, what you see here is nearly all I possess.
Although many Muslims are tolerant of Christians, the mukhtar of Gaza delights in killing them, or anyone like them.	Although many Muslims are tolerant of Christians, the mukhtar of Gaza delights in killing them, or anyone like them.
There is no more qahwah.  You seem to have aquired a taste for it quite readily.	There is no more qahwah.  You seem to have aquired a taste for it quite readily.
The carafe and the cups are for my qahwah.  Please help yourself.	The carafe and the cups are for my qahwah.  Please help yourself.
Qahwah is a hot drink made from brewing the roasted, crushed beans of the qahwah tree.	Qahwah is a hot drink made from brewing the roasted, crushed beans of the qahwah tree.
You may find it bitter, but it is most invigorating.	You may find it bitter, but it is most invigorating.
You have eaten all the figs.	You have eaten all the figs.
In the bowl on the table are sweet figs that Hazm picked for me.  Please eat them, if you wish.	In the bowl on the table are sweet figs that Hazm picked for me.  Please eat them, if you wish.
I will show you the symbol again, if you will name the goddess whose symbol you wish to see.	I will show you the symbol again, if you will name the goddess whose symbol you wish to see.
There is no symbol to see......yet.	There is no symbol to see......yet.
He is a good boy and will be a fine scholar one day.	He is a good boy and will be a fine scholar one day.
You need not fear for your mule.  Hazm loves animals and will take good care of her until you are ready to depart.	You need not fear for your mule.  Hazm loves animals and will take good care of her until you are ready to depart.
Six Guardians stand between you and this sacred cup.  Six times you will be judged, weighed and tested.  They will be tests of mind, spirit and body.	Six Guardians stand between you and this sacred cup.  Six times you will be judged, weighed and tested.  They will be tests of mind, spirit and body.
If you prevail, the Goddess will relinquish her guardianship of the sacred cup.  What you call the Holy Grail will pass into your hands and its powers of regeneration will be yours.	If you prevail, the Goddess will relinquish her guardianship of the sacred cup.  What you call the Holy Grail will pass into your hands and its powers of regeneration will be yours.
There are six you must pass.  I am the first.	There are six you must pass.  I am the first.
There are always bandits, for there are always men of greed.	There are always bandits, for there are always men of greed.
To reach paradise, one must walk the razor-edged path of truth and purity.	To reach paradise, one must walk the razor-edged path of truth and purity.
He who came before you searched long and far, yet he did not come here, though I sent Hazm with an invitation.	He who came before you searched long and far, yet he did not come here, though I sent Hazm with an invitation.
I know nothing more of him save that he reached Jerusalem, but has not succeeded in his quest.	I know nothing more of him save that he reached Jerusalem, but has not succeeded in his quest.
He did not come to this land.	He did not come to this land.
The Goddess gave birth to the universe.  By many names and faces she is known.  As Virgin, Mother and Crone.  As Birth, Growth and Death.	The Goddess gave birth to the universe.  By many names and faces she is known.  As Virgin, Mother and Crone.  As Birth, Growth and Death.
I serve her in her form of Aphrodite, but she has six other manifestations which must concern you.  You will not reach the Grail unless you learn of these Six Goddesses.	I serve her in her form of Aphrodite, but she has six other manifestations which must concern you.  You will not reach the Grail unless you learn of these Six Goddesses.
Six is the sacred number of Aphrodite.	Six is the sacred number of Aphrodite.
It is not safe for you. You will be wise to avoid it.	It is not safe for you. You will be wise to avoid it.
There are men who know the desert and where precious water may be found, but there are men who will guide you astray so they may kill and rob you.  Be careful who you trust.	There are men who know the desert and where precious water may be found, but there are men who will guide you astray so they may kill and rob you.  Be careful who you trust.
It is barren, treacherous and hot as a furnace. I have known of men who cooked eggs upon the rocks at midday.	It is barren, treacherous and hot as a furnace. I have known of men who cooked eggs upon the rocks at midday.
The Zion gate is in the southern wall of Jerusalem.	The Zion gate is in the southern wall of Jerusalem.
The Jaffa gate is in the western wall of Jerusalem and there is no fee to enter it.	The Jaffa gate is in the western wall of Jerusalem and there is no fee to enter it.
He is the official who runs Gaza.  He has just come to power and he hates foreigners, especially Christians.  You have escaped his notice for now, but Gaza is very dangerous for you.	He is the official who runs Gaza.  He has just come to power and he hates foreigners, especially Christians.  You have escaped his notice for now, but Gaza is very dangerous for you.
There is water between here and Jerusalem, but I cannot help you to find it.	There is water between here and Jerusalem, but I cannot help you to find it.
Certainly, as Hazm leads you from Gaza, he will see you have a drink at a well, but that will not take you far in the desert.	Certainly, as Hazm leads you from Gaza, he will see you have a drink at a well, but that will not take you far in the desert.
The path to truth is as narrow and dangerous as a razor's edge.	The path to truth is as narrow and dangerous as a razor's edge.
Though I am more than willing to answer questions, I will answer only those questions which I deem significant.	Though I am more than willing to answer questions, I will answer only those questions which I deem significant.
None for me, thank you.	None for me, thank you.
I am so glad you enjoyed my figs. What a shame there are no more.	I am so glad you enjoyed my figs. What a shame there are no more.
These are the names of the Six Goddesses: Athene, Vesta, Isis, Astarte, Ceres, Venus.	These are the names of the Six Goddesses: Athene, Vesta, Isis, Astarte, Ceres, Venus.
And these are their symbols.	And these are their symbols.
This is the symbol of Athene.	This is the symbol of Athene.
This is the symbol of Vesta.	This is the symbol of Vesta.
This is the symbol of Isis.	This is the symbol of Isis.
