You have failed. The price must be paid.	You have failed. The price must be paid.
When light is dim and courage fails, When heart against adversity rails, When it seems you will never see the dawn, This alone can drive you on.	When light is dim and courage fails, When heart against adversity rails, When it seems you will never see the dawn, This alone can drive you on.
If a dream is abandoned, Or a purpose dies, These are left with the dregs Of bitterness and sighs.	If a dream is abandoned, Or a purpose dies, These are left with the dregs Of bitterness and sighs.
It can be sweet on the tongue, Or vile as a curse, To hear it is evil, To believe it is worse.	It can be sweet on the tongue, Or vile as a curse, To hear it is evil, To believe it is worse.
In time of grief, It gives relief, It can lessen fears, Ease the pain of tears.	In time of grief, It gives relief, It can lessen fears, Ease the pain of tears.
Oh, it is splendid, It has no peer, It scorns the lesser, And holds itself dear.	Oh, it is splendid, It has no peer, It scorns the lesser, And holds itself dear.
Known to the priest And nun, Who natural pleasures Do shun.	Known to the priest And nun, Who natural pleasures Do shun.
Surrounded by giants, Your worries were few, Wonders abounded, The world was new.	Surrounded by giants, Your worries were few, Wonders abounded, The world was new.
Wise are they who seek it, Fools are they who believe without it, Scorn those who claim To own it.	Wise are they who seek it, Fools are they who believe without it, Scorn those who claim To own it.
It alleviates all pain and sorrows, The final end of all tomorrows, That to which we all must go, Rich or poor, high or low.	It alleviates all pain and sorrows, The final end of all tomorrows, That to which we all must go, Rich or poor, high or low.
For its sweet sake, You suffer in silence, What we both most desire, But will never possess.	For its sweet sake, You suffer in silence, What we both most desire, But will never possess.
I need a bit more, m'lud, if you wish to go to the port you have chosen.	I need a bit more, m'lud, if you wish to go to the port you have chosen.
Beggin' m'lud's pardon, but this is not enough for the port you have chosen.  I will return your coins, so you may count them out again.	Beggin' m'lud's pardon, but this is not enough for the port you have chosen.  I will return your coins, so you may count them out again.
That is too much money, m'lud.  I cannot in all honesty accept more than is needed.	That is too much money, m'lud.  I cannot in all honesty accept more than is needed.
Thankee, m'lud.  You have booked passage to Gaza.	Thankee, m'lud.  You have booked passage to Gaza.
Thankee, m'lud.  You have booked passage to Thessalonica.	Thankee, m'lud.  You have booked passage to Thessalonica.
Thankee, m'lud.  You have booked passage to Rome.	Thankee, m'lud.  You have booked passage to Rome.
Thankee, m'lud.  You have booked passage to Rennes.	Thankee, m'lud.  You have booked passage to Rennes.
Thankee, m'lud.  You have booked passage to Dublin.	Thankee, m'lud.  You have booked passage to Dublin.
He has the rolling gait of a retired sailor, and the portly bearing of a man who well enjoys his food and grog.	He has the rolling gait of a retired sailor, and the portly bearing of a man who well enjoys his food and grog.
'Tis a foreign ship, m'lud, recently sold to yet another foreigner.	'Tis a foreign ship, m'lud, recently sold to yet another foreigner.
There are many ships that use this port, m'lud, like the foreign ship behind me that arrived a few days ago.	There are many ships that use this port, m'lud, like the foreign ship behind me that arrived a few days ago.
The "Conal Cearnach" sails for Dublin, m'lud, in the land of Eire. The "Frastrada" will dock somewhere along the coast of Brittany to deliver supplies for the scholars of Rennes in the Kingdom of the Franks.	The "Conal Cearnach" sails for Dublin, m'lud, in the land of Eire. The "Frastrada" will dock somewhere along the coast of Brittany to deliver supplies for the scholars of Rennes in the Kingdom of the Franks.
The Captain of the "Remus" seeks to reach Rome, but will stop in two Muslim-held ports, Malaga and Tunis.  The "Athene" sails for Thessalonica, seeking also to trade in Malaga and Tunis.	The Captain of the "Remus" seeks to reach Rome, but will stop in two Muslim-held ports, Malaga and Tunis.  The "Athene" sails for Thessalonica, seeking also to trade in Malaga and Tunis.
A ship called "Al-Uzza" is bound for the Far East, by way of Malaga, Tunis, and Alexandria, and if God wills, coming at last to distant Gaza.	A ship called "Al-Uzza" is bound for the Far East, by way of Malaga, Tunis, and Alexandria, and if God wills, coming at last to distant Gaza.
If you care to book passage on any of these, m'lud, I will gladly help you.	If you care to book passage on any of these, m'lud, I will gladly help you.
I bid you to return later, m'lud, when the ships may be ready to sail.	I bid you to return later, m'lud, when the ships may be ready to sail.
No need to part with it, m'lud.  Being small, it should fit on a ship well enough.	No need to part with it, m'lud.  Being small, it should fit on a ship well enough.
I know little about mules, m'lud.	I know little about mules, m'lud.
 Beg pardon, m'lud?	 Beg pardon, m'lud?
There will not be enough room for your horse, m'lud.	There will not be enough room for your horse, m'lud.
Aye, 'tis a fine horse.	Aye, 'tis a fine horse.
Beg pardon, m'lud?	Beg pardon, m'lud?
The fare to Dublin is one silver coin. The fare to Rennes is two silver coins. The fare to Rome is one gold coin. The fare to Thessalonica is two gold coins. The fare to Gaza is three gold coins.	The fare to Dublin is one silver coin. The fare to Rennes is two silver coins. The fare to Rome is one gold coin. The fare to Thessalonica is two gold coins. The fare to Gaza is three gold coins.
I stand ready to accept your fare, m'lud, upon which I shall direct you to the proper ship.	I stand ready to accept your fare, m'lud, upon which I shall direct you to the proper ship.
Please return later, m'lud, when ships are ready to sail.  Then I will be able to help you book passage.	Please return later, m'lud, when ships are ready to sail.  Then I will be able to help you book passage.
Jerusalem is a city in the desert near the easternmost end of the Mediterranean Sea.	Jerusalem is a city in the desert near the easternmost end of the Mediterranean Sea.
Eh? Sounds like some foreign word to me.	Eh? Sounds like some foreign word to me.
I know nothing of such things.	I know nothing of such things.
Of these good knights, I have heard no tale.	Of these good knights, I have heard no tale.
Aye, he took ship from here to the Far East.  He said he had heard tales that made him believe he should seek the Grail in Jerusalem.	Aye, he took ship from here to the Far East.  He said he had heard tales that made him believe he should seek the Grail in Jerusalem.
There be five ships in port today, m'lud.  They are called the Conal Cearnach, the Frastrada, the Al-Uzza, the Athene and the Remus.	There be five ships in port today, m'lud.  They are called the Conal Cearnach, the Frastrada, the Al-Uzza, the Athene and the Remus.
My name is Rollin' Jack, m'lud.	My name is Rollin' Jack, m'lud.
Aye, m'lud, it were a hard life what does it to a man.	Aye, m'lud, it were a hard life what does it to a man.
The "Conal Cearnach" sails for Dublin, m'lud, in the land of Eire.	The "Conal Cearnach" sails for Dublin, m'lud, in the land of Eire.
The "Frastrada" will dock somewhere along the coast of Brittany to deliver supplies for the scholars of Rennes in the Kingdom of the Franks.	The "Frastrada" will dock somewhere along the coast of Brittany to deliver supplies for the scholars of Rennes in the Kingdom of the Franks.
The Captain of the "Remus" seeks to reach Rome, but will stop in two Muslim-held ports, Malaga and Tunis.	The Captain of the "Remus" seeks to reach Rome, but will stop in two Muslim-held ports, Malaga and Tunis.
The "Athene" sails for Thessalonica, seeking also to trade in Malaga and Tunis.	The "Athene" sails for Thessalonica, seeking also to trade in Malaga and Tunis.
Aye, 'tis fair seas for sailing at this time of year.	Aye, 'tis fair seas for sailing at this time of year.
I be guarding this gangplank, m'lud, while the Captain is ashore.	I be guarding this gangplank, m'lud, while the Captain is ashore.
There will be only enough room for you and your mule, m'lud.  I will see that your horse is delivered safely to Camelot, as I did for Sir Galahad when he departed from here some months ago.	There will be only enough room for you and your mule, m'lud.  I will see that your horse is delivered safely to Camelot, as I did for Sir Galahad when he departed from here some months ago.
If that suits you, m'lud, you may book passage with me.	If that suits you, m'lud, you may book passage with me.
Aye, there should be enough room for you as a passenger.   If you seek to travel, you may book passage through me, m'lud.	Aye, there should be enough room for you as a passenger.   If you seek to travel, you may book passage through me, m'lud.
I cannot book a passage for you yet, m'lud.  Return later and I may be able to help you.	I cannot book a passage for you yet, m'lud.  Return later and I may be able to help you.
Aye, 'tis part of a ship, m'lud.	Aye, 'tis part of a ship, m'lud.
Sail?  Did you say sail?  A ship will not get far without one, m'lud.	Sail?  Did you say sail?  A ship will not get far without one, m'lud.
There are five ships in the port ready to depart.  Their destinations are Dublin, Rennes, Rome, Thessalonica and Gaza.	There are five ships in the port ready to depart.  Their destinations are Dublin, Rennes, Rome, Thessalonica and Gaza.
Several ships are in port, but none will be ready to sail again for some days.	Several ships are in port, but none will be ready to sail again for some days.
We have had some trouble at the docks.  Drunken brawls amongst the sailors, that sort of thing.	We have had some trouble at the docks.  Drunken brawls amongst the sailors, that sort of thing.
The crews will be unfit to sail for days yet.	The crews will be unfit to sail for days yet.
They be ashore in search of grog and women, m'lud.	They be ashore in search of grog and women, m'lud.
You cannot deny the sailors a bit of fun while they are in port, not after months at sea.	You cannot deny the sailors a bit of fun while they are in port, not after months at sea.
We have a number of foreign captains in port this day.  They are doing business with the port merchants.	We have a number of foreign captains in port this day.  They are doing business with the port merchants.
We do a fair business here, m'lud.  Mostly we trade our tin, furs and some weapons, and receive trade goods of many kinds.	We do a fair business here, m'lud.  Mostly we trade our tin, furs and some weapons, and receive trade goods of many kinds.
