It is the remnant of some even older part of the city, as best I can tell.	It is the remnant of some even older part of the city, as best I can tell.
It is of colored glass through which you can see nothing.	It is of colored glass through which you can see nothing.
They look like ordinary bushes of some Eastern variety.	They look like ordinary bushes of some Eastern variety.
Over the door are two symbols, a crescent moon and a star.	Over the door are two symbols, a crescent moon and a star.
The crescent and star are both symbols associated with the Goddess.	The crescent and star are both symbols associated with the Goddess.
Bits of plaster have fallen away revealing bricks underneath, a common enough sight in Jerusalem.	Bits of plaster have fallen away revealing bricks underneath, a common enough sight in Jerusalem.
The tiles are beautifully decorated, but of no consequence to you.	The tiles are beautifully decorated, but of no consequence to you.
It is a heavy wooden door framed by beautifully glazed tiles.	It is a heavy wooden door framed by beautifully glazed tiles.
She is nowhere in sight, if she is around here at all.	She is nowhere in sight, if she is around here at all.
I see no-one here with whom to speak.	I see no-one here with whom to speak.
It is already open.	It is already open.
Such poetic language will never get you through this door.	Such poetic language will never get you through this door.
A powerful enchantment keeps this door shut. It will not open unless the owner is ready to open it.	A powerful enchantment keeps this door shut. It will not open unless the owner is ready to open it.
Ahem...it IS closed.	Ahem...it IS closed.
First, you must confront her. Then we shall see what will be.	First, you must confront her. Then we shall see what will be.
You are alone in a hostile city. Do try to avoid rash and foolish actions.	You are alone in a hostile city. Do try to avoid rash and foolish actions.
There is no merchant here.	There is no merchant here.
It is too high.	It is too high.
Enter. Then we shall speak.	Enter. Then we shall speak.
I will not tolerate such filth.	I will not tolerate such filth.
I warned you once. Now you will never step across my threshold.	I warned you once. Now you will never step across my threshold.
Enter, if you would speak with me.	Enter, if you would speak with me.
What are you waiting for, Arthur? It is open.	What are you waiting for, Arthur? It is open.
There is no need. Fatima controls this door.	There is no need. Fatima controls this door.
There is no answer.	There is no answer.
Fatima has finished with you. She will not answer.	Fatima has finished with you. She will not answer.
You were warned. This door will never open for you again.	You were warned. This door will never open for you again.
Enter.	Enter.
You may try, but I do not think you will succeed.	You may try, but I do not think you will succeed.
I really think you are better off keeping your eyes on Fatima.	I really think you are better off keeping your eyes on Fatima.
This is no girl, Arthur!	This is no girl, Arthur!
I can tell you nothing.	I can tell you nothing.
Above you is an unadorned ceiling.	Above you is an unadorned ceiling.
Fatima awaits you upon the other side of a tiled pool. Water splashes from a bronze dolphin fountain. At the other end is a couch amply decorated with pillows. There is only one other door from the room.	Fatima awaits you upon the other side of a tiled pool. Water splashes from a bronze dolphin fountain. At the other end is a couch amply decorated with pillows. There is only one other door from the room.
Nothing has changed, except perhaps your level of caution.	Nothing has changed, except perhaps your level of caution.
There is no bench, but there is a couch.	There is no bench, but there is a couch.
There is the front door, through which you entered, and a side door which seems to be the only other exit.	There is the front door, through which you entered, and a side door which seems to be the only other exit.
That is the front door, through which you entered.	That is the front door, through which you entered.
That side door is the only other door in this room besides the front door.	That side door is the only other door in this room besides the front door.
It is a piece of dark slate with a painted edge.	It is a piece of dark slate with a painted edge.
The crescent over the side door is a lunar symbol associated with the Goddess.	The crescent over the side door is a lunar symbol associated with the Goddess.
It is a beautifully sculpted bronze dolphin.	It is a beautifully sculpted bronze dolphin.
I do not recognize her plants, but I doubt they are important.	I do not recognize her plants, but I doubt they are important.
The utterly clear water ripples in a most mesmerizing way.	The utterly clear water ripples in a most mesmerizing way.
The couch with its wealth of lush pillows suggests the pursuit of physical pleasures.	The couch with its wealth of lush pillows suggests the pursuit of physical pleasures.
Everything in this room, including Fatima, should be considered a possible trap.	Everything in this room, including Fatima, should be considered a possible trap.
Aye, you had best avoid it unless you have reason to think it is safe.	Aye, you had best avoid it unless you have reason to think it is safe.
It is paved with squares of terra cotta.	It is paved with squares of terra cotta.
The room has no windows. The alcoves are filled with tiles glazed with complex Arabian patterns.	The room has no windows. The alcoves are filled with tiles glazed with complex Arabian patterns.
The walls have arches and recessed tiled alcoves.	The walls have arches and recessed tiled alcoves.
The alcoves look primarily decorative, covered with brightly glazed, patterned tiles.	The alcoves look primarily decorative, covered with brightly glazed, patterned tiles.
The glazed tiles are bright and dazzle the eye.	The glazed tiles are bright and dazzle the eye.
Really, Arthur, that would be most unwise here.	Really, Arthur, that would be most unwise here.
It is good that you have returned for you have yet to pass the Test of Symbols.	It is good that you have returned for you have yet to pass the Test of Symbols.
Welcome back, seeker. You have learned a difficult lesson. There is but one way to walk through my outer door in safety and that is when I will it.	Welcome back, seeker. You have learned a difficult lesson. There is but one way to walk through my outer door in safety and that is when I will it.
She is so exquisite, that even I am moved by her beauty. And she is no ordinary woman. I feel a power here that rivals my own.	She is so exquisite, that even I am moved by her beauty. And she is no ordinary woman. I feel a power here that rivals my own.
You have earned the right to question me.  Ask of me what you will.	You have earned the right to question me.  Ask of me what you will.
When I want something of you, seeker, I will ask it.	When I want something of you, seeker, I will ask it.
I care not what amount of coin you have. I ask for the entire purse, be it empty or full, for the purse represents attachment to material wealth.	I care not what amount of coin you have. I ask for the entire purse, be it empty or full, for the purse represents attachment to material wealth.
What I have to offer you is greater than any sum of money.	What I have to offer you is greater than any sum of money.
Your lips will not reach that far.  And I do NOT advise getting closer.	Your lips will not reach that far.  And I do NOT advise getting closer.
By refusing my seductions, you have proven yourself to be a man of moral worth. But beware that you do not undo it all with a passing moment of weakness.	By refusing my seductions, you have proven yourself to be a man of moral worth. But beware that you do not undo it all with a passing moment of weakness.
You would look like a fool.	You would look like a fool.
For that, you must find the hierophant.	For that, you must find the hierophant.
I cannot see what good that would do you.	I cannot see what good that would do you.
There is no key to be gotten.	There is no key to be gotten.
There is but one way out, through the front door.	There is but one way out, through the front door.
Would you expect anyone to answer?	Would you expect anyone to answer?
You may leave by the front door at any time, though I advise you not to do so unless I give you my blessing. The inner door opens only at my command.	You may leave by the front door at any time, though I advise you not to do so unless I give you my blessing. The inner door opens only at my command.
You may leave by the front door at any time, though I advise you not to do so unless I give you my blessing. The inner door is open. The Test awaits you.	You may leave by the front door at any time, though I advise you not to do so unless I give you my blessing. The inner door is open. The Test awaits you.
It is good that you have brought this. Keep it close to you.	It is good that you have brought this. Keep it close to you.
I should think you have had more than your share of merchants this day.	I should think you have had more than your share of merchants this day.
No, do not eat it now. You may have need for it later.	No, do not eat it now. You may have need for it later.
My sacred waters are protected by a spell to keep them clean of any defilement, though I will allow you to drink of it.	My sacred waters are protected by a spell to keep them clean of any defilement, though I will allow you to drink of it.
My sacred waters are not for such mundane uses.	My sacred waters are not for such mundane uses.
Fatima's heady perfume and musky incense overwhelms your senses with sensual pleasure.	Fatima's heady perfume and musky incense overwhelms your senses with sensual pleasure.
You cannot draw your sword and if you turn to violence against me, I will punish you.	You cannot draw your sword and if you turn to violence against me, I will punish you.
You are far from the enchantress who gave you this sword and my power is supreme here. Your sword will not leave its scabbard in my presence.	You are far from the enchantress who gave you this sword and my power is supreme here. Your sword will not leave its scabbard in my presence.
Do not seek to lose the good favor you have won from me.	Do not seek to lose the good favor you have won from me.
Soon enough, my handsome one.	Soon enough, my handsome one.
Knowledge must be earned before it will be given.	Knowledge must be earned before it will be given.
You have passed my Test and are truly you are the most worthy of all men who have passed my door. Go with my blessings and find the hierophant.	You have passed my Test and are truly you are the most worthy of all men who have passed my door. Go with my blessings and find the hierophant.
Enter the door and take my test.	Enter the door and take my test.
You are acquainted with my front door.  This inner door leads to my Test of Symbols.	You are acquainted with my front door.  This inner door leads to my Test of Symbols.
If you persevere, you will find the Grail.  Now, you must seek out the hierophant and gain entrance to the catacombs, as did Galahad before you.	If you persevere, you will find the Grail.  Now, you must seek out the hierophant and gain entrance to the catacombs, as did Galahad before you.
You have trials of body, spirit and heart yet to face if you are to wrest the Cup of Regeneration from the Goddess and take it with you as the Grail.	You have trials of body, spirit and heart yet to face if you are to wrest the Cup of Regeneration from the Goddess and take it with you as the Grail.
From here, your path must lie through the deadly catacombs, as it did for the man who came here before you, the one called Galahad.	From here, your path must lie through the deadly catacombs, as it did for the man who came here before you, the one called Galahad.
But to walk safely in the catacombs, you must pass my Test of Symbols.	But to walk safely in the catacombs, you must pass my Test of Symbols.
He, too, resisted my seductions. I have learned from the hierophant that Galahad entered the catacombs to continue his search.	He, too, resisted my seductions. I have learned from the hierophant that Galahad entered the catacombs to continue his search.
But he did not pass the Test of Symbols that I placed before him, and so I fear he has suffered by entering the catacombs without the gift of the hierophant.	But he did not pass the Test of Symbols that I placed before him, and so I fear he has suffered by entering the catacombs without the gift of the hierophant.
I judge from your words that these men also sought the Grail. But I know them not. They have not come to me.	I judge from your words that these men also sought the Grail. But I know them not. They have not come to me.
Hezekiah's Aqueduct feeds the Pool of Siloam by bringing it waters from the Spring of Gihon, the same waters I draw upon for my own pool.	Hezekiah's Aqueduct feeds the Pool of Siloam by bringing it waters from the Spring of Gihon, the same waters I draw upon for my own pool.
The catacombs lie beneath the city. You must find the hierophant if you wish to enter them.	The catacombs lie beneath the city. You must find the hierophant if you wish to enter them.
The hierophant will guide you to the catacombs, when you are ready. But first I entreat you to pass my Test of Symbols.	The hierophant will guide you to the catacombs, when you are ready. But first I entreat you to pass my Test of Symbols.
Unless you pass this test, you will enter the catacombs without the gift of the hierophant.	Unless you pass this test, you will enter the catacombs without the gift of the hierophant.
Ancient he is, and he is wise, yet shunned by fools who fear his guise. 	Ancient he is, and he is wise, yet shunned by fools who fear his guise. 
You have seen the leprous beggar. Look to your own knowledge.	You have seen the leprous beggar. Look to your own knowledge.
The crescent above my inner door signifies that behind it lies the Test of Symbols.	The crescent above my inner door signifies that behind it lies the Test of Symbols.
You will learn about that from the hierophant, if ever you meet him.	You will learn about that from the hierophant, if ever you meet him.
She who I serve has infinite names. Yet in all times and in all places she is known by her three natures.	She who I serve has infinite names. Yet in all times and in all places she is known by her three natures.
As the White Virgin she renews and generates life, as the Red Mother she nurtures and protects life, as the Black Crone she is death and the forces of destruction.	As the White Virgin she renews and generates life, as the Red Mother she nurtures and protects life, as the Black Crone she is death and the forces of destruction.
You have three more Guardians to face.	You have three more Guardians to face.
Some questions are more worthy of my answers than others. This one is less worthy.	Some questions are more worthy of my answers than others. This one is less worthy.
You shall not move until my dance is through. No other words but a yes or a no will do.	You shall not move until my dance is through. No other words but a yes or a no will do.
O' handsome stranger from a distant land, this is my dance of love. I offer you pleasures such as you have never known.	O' handsome stranger from a distant land, this is my dance of love. I offer you pleasures such as you have never known.
I offer you my body and soul and sensual delights beyond imagining. In this enchanted place, we will take our endless fill of one another.	I offer you my body and soul and sensual delights beyond imagining. In this enchanted place, we will take our endless fill of one another.
I offer you the sweetest wine and the most succulent fruits and meats. I offer you complete freedom from all weariness and care.	I offer you the sweetest wine and the most succulent fruits and meats. I offer you complete freedom from all weariness and care.
