It encompasses all things that are considered plants.	It encompasses all things that are considered plants.
It refers to anything that is an animal.	It refers to anything that is an animal.
In this place, it would not surprise me to hear a statue talk, but this one shows no interest in speech as yet.	In this place, it would not surprise me to hear a statue talk, but this one shows no interest in speech as yet.
You have passed this test and the statue is silent.	You have passed this test and the statue is silent.
You are not making sense, Arthur.	You are not making sense, Arthur.
It has turned to stone and become part of the statue.	It has turned to stone and become part of the statue.
It is part of the statue.	It is part of the statue.
What nonsense is this? You were given the dove.	What nonsense is this? You were given the dove.
That is quite beyond your ability.	That is quite beyond your ability.
You have given the statue the only apple it required.	You have given the statue the only apple it required.
You have both a green apple and a golden apple.	You have both a green apple and a golden apple.
The apple fit perfectly in the statue's hand, but caused nothing to happen.	The apple fit perfectly in the statue's hand, but caused nothing to happen.
You have brought the gift by which I am made complete. For this, I will tell you what you must do to escape the catacombs.	You have brought the gift by which I am made complete. For this, I will tell you what you must do to escape the catacombs.
First, be warned. From this moment on, every door within the catacombs is a possible trap. If you leave the safety of this room too soon, you may be trapped forever within a tomb.	First, be warned. From this moment on, every door within the catacombs is a possible trap. If you leave the safety of this room too soon, you may be trapped forever within a tomb.
It is Aphrodite's will that you should know something of her history. I will pose you six questions to test your knowledge of her.	It is Aphrodite's will that you should know something of her history. I will pose you six questions to test your knowledge of her.
Each question requires but one word in answer. When you have answered all six, I shall reveal to you how you may escape the catacombs.	Each question requires but one word in answer. When you have answered all six, I shall reveal to you how you may escape the catacombs.
As for the sacred cup, it lies beyond the catacombs. You will not find it here. The test now begins.	As for the sacred cup, it lies beyond the catacombs. You will not find it here. The test now begins.
That is not the answer. The test continues.	That is not the answer. The test continues.
The answer requires but a single word. The test continues.	The answer requires but a single word. The test continues.
That is the answer. The test continues.	That is the answer. The test continues.
You have given the six answers I require and earned your chance at freedom. First, accept this gift.	You have given the six answers I require and earned your chance at freedom. First, accept this gift.
When you have proven yourself by sword and shield, the time will be right to use the dove.	When you have proven yourself by sword and shield, the time will be right to use the dove.
To escape from the catacombs, you must enter six doors exactly as I tell you. If you choose a door that is wrong, you will find yourself trapped forever.	To escape from the catacombs, you must enter six doors exactly as I tell you. If you choose a door that is wrong, you will find yourself trapped forever.
You begin here by choosing the first door you must enter.	You begin here by choosing the first door you must enter.
The doors you choose must face the direction I give you and you must ENTER them in exactly this order....	The doors you choose must face the direction I give you and you must ENTER them in exactly this order....
West, east, south, east, south, north.	West, east, south, east, south, north.
Have no fear for Galahad. When he is healed, I shall set him free. You have earned that boon.	Have no fear for Galahad. When he is healed, I shall set him free. You have earned that boon.
I shall not speak again. Your escape relies now upon your own ingenuity.	I shall not speak again. Your escape relies now upon your own ingenuity.
You are enclosed in a narrow tunnel within the wall. Inch forward carefully and test the floor as you go.	You are enclosed in a narrow tunnel within the wall. Inch forward carefully and test the floor as you go.
It takes you in one direction. Let us hope you find an exit soon, for it is as cold as the grave and the stone walls covered with something slick and unpleasant.	It takes you in one direction. Let us hope you find an exit soon, for it is as cold as the grave and the stone walls covered with something slick and unpleasant.
The tunnel stops at a wall. Push, Arthur! Aye, it gives way into one of the rooms of the catacombs through a hidden doorway.	The tunnel stops at a wall. Push, Arthur! Aye, it gives way into one of the rooms of the catacombs through a hidden doorway.
Catch him, Arthur! He must not escape!	Catch him, Arthur! He must not escape!
Hurry! You must not let him out of your sight for an instant!	Hurry! You must not let him out of your sight for an instant!
You will never see it again unless you catch that Thief!	You will never see it again unless you catch that Thief!
Arthur, nothing else matters except that you catch that thief and retrieve the Grail at once!	Arthur, nothing else matters except that you catch that thief and retrieve the Grail at once!
First, you must catch him!	First, you must catch him!
Do not stand there then! Chase him!	Do not stand there then! Chase him!
First you must catch him and quickly!	First you must catch him and quickly!
Aye, you must, but only if you catch the Thief!	Aye, you must, but only if you catch the Thief!
First catch the Thief, then decide how to deal with him.	First catch the Thief, then decide how to deal with him.
I can hardly blame you for being upset, but it will take more than foul language to catch the thief.	I can hardly blame you for being upset, but it will take more than foul language to catch the thief.
