There is a textile merchant and a woman selling felafels.	There is a textile merchant and a woman selling felafels.
The woman sells her felafels, but as I suspected, Ibrahim has forsaken his business for the pleasure of his wife's company. And who can blame him?	The woman sells her felafels, but as I suspected, Ibrahim has forsaken his business for the pleasure of his wife's company. And who can blame him?
It is golden fried and hot from oil. You must either eat it or give it to someone, Arthur. It will crumble to bits if you carry it about.	It is golden fried and hot from oil. You must either eat it or give it to someone, Arthur. It will crumble to bits if you carry it about.
You were warned they are delicate. It has crumbled away to nothing.	You were warned they are delicate. It has crumbled away to nothing.
There is a basket of crisp, golden brown felafels, fresh from the oil on the woman's table.	There is a basket of crisp, golden brown felafels, fresh from the oil on the woman's table.
It is dark and empty.	It is dark and empty.
He has quite a lot of it.	He has quite a lot of it.
There is a basket of raw felafel balls and a basket of fried felafels.	There is a basket of raw felafel balls and a basket of fried felafels.
It looks uninviting.	It looks uninviting.
Your mule is across the street with the weapons merchant.	Your mule is across the street with the weapons merchant.
How?	How?
The felafels do smell especially good.	The felafels do smell especially good.
Nay, do not disturb Ibrahim and his wife at such a moment.	Nay, do not disturb Ibrahim and his wife at such a moment.
If Ibrahim wanted you to enter, he would invite you.	If Ibrahim wanted you to enter, he would invite you.
Ibrahim has not returned.	Ibrahim has not returned.
I do not think you will see Ibrahim any time soon.	I do not think you will see Ibrahim any time soon.
No need to stand there drooling. Help yourself, I said.	No need to stand there drooling. Help yourself, I said.
He has rather a taste for bright colours, I note.	He has rather a taste for bright colours, I note.
The textile merchant has quite an array of cloth.	The textile merchant has quite an array of cloth.
You cannot see through the door.	You cannot see through the door.
Observe, if you will, the quality of my fabrics. You will find none finer even if you journeyed to Constantinople, and indeed, some have come from twice as far.	Observe, if you will, the quality of my fabrics. You will find none finer even if you journeyed to Constantinople, and indeed, some have come from twice as far.
See the exquisite colors, the glowing patterns, the perfect weave of these silks from the Orient.	See the exquisite colors, the glowing patterns, the perfect weave of these silks from the Orient.
And these magnificent linens that will keep you cool when the sun scorches the earth, and by its virtue of absorbing moisture, will keep you dry.	And these magnificent linens that will keep you cool when the sun scorches the earth, and by its virtue of absorbing moisture, will keep you dry.
Then perhaps you come from a colder clime, as indeed your armor would hint. See my beautifully dyed woolens and feel the perfection of their natural oils.	Then perhaps you come from a colder clime, as indeed your armor would hint. See my beautifully dyed woolens and feel the perfection of their natural oils.
You are undoubtedly awed by the selection. Take your time.	You are undoubtedly awed by the selection. Take your time.
My anguish overwhelms me. I cannot speak.	My anguish overwhelms me. I cannot speak.
But you are not buying anything.	But you are not buying anything.
Keep it away! I once had a mule who ate cloth. I will never keep one again.	Keep it away! I once had a mule who ate cloth. I will never keep one again.
Ahh! You have it, habibi! If only I could have it, I would be the happiest man in the world!	Ahh! You have it, habibi! If only I could have it, I would be the happiest man in the world!
No thank you. I do not eat meat.	No thank you. I do not eat meat.
Forgive my ingratitude, but I have eaten more of Sarah's felafels than the sky has stars.	Forgive my ingratitude, but I have eaten more of Sarah's felafels than the sky has stars.
You wish me to accept this gift? I cannot imagine why. I must respectfully decline.	You wish me to accept this gift? I cannot imagine why. I must respectfully decline.
No, I do not eat meat.	No, I do not eat meat.
I think not today, thank you. May Allah guide you elsewhere.	I think not today, thank you. May Allah guide you elsewhere.
Rather ostentatious for you, I deem, and not of much use without the skills of a tailor.	Rather ostentatious for you, I deem, and not of much use without the skills of a tailor.
If you wish, here it is.	If you wish, here it is.
Do not mention the word veil to me! It is a word of misery.	Do not mention the word veil to me! It is a word of misery.
She is beautiful and trusting. I fear I do not deserve such a good wife.	She is beautiful and trusting. I fear I do not deserve such a good wife.
I do not have rugs for sale.	I do not have rugs for sale.
Perhaps Ismail the relic merchant can help you.	Perhaps Ismail the relic merchant can help you.
I do not know him.	I do not know him.
Just feel the marvelous fabric, habib. They can make a pauper look like a prince!	Just feel the marvelous fabric, habib. They can make a pauper look like a prince!
My woolens are the finest in Jerusalem.	My woolens are the finest in Jerusalem.
The silks come from the Orient, very rare and very beautiful.	The silks come from the Orient, very rare and very beautiful.
Yes, they plague and the city guards seldom catch them. For this, I pay taxes?	Yes, they plague and the city guards seldom catch them. For this, I pay taxes?
That alley goes nowhere and is most unpleasant.	That alley goes nowhere and is most unpleasant.
Do not speak her cursed name! I wish I had never seen her!	Do not speak her cursed name! I wish I had never seen her!
My neighbor, Sarah, sells excellent felafels.	My neighbor, Sarah, sells excellent felafels.
Her felafels are the best in Jerusalem.	Her felafels are the best in Jerusalem.
It means cloth, of course.	It means cloth, of course.
The thieves are a dreadful nuisance.	The thieves are a dreadful nuisance.
Even if you travelled there, you would find no finer fabrics than mine.	Even if you travelled there, you would find no finer fabrics than mine.
What can I say about that, habibi.	What can I say about that, habibi.
It appears she partakes liberally of her own food.	It appears she partakes liberally of her own food.
It is a heavy metal cauldron filled with bubbling hot oil.	It is a heavy metal cauldron filled with bubbling hot oil.
One basket of raw felafels and one basket of cooked felafels sits on the table.	One basket of raw felafels and one basket of cooked felafels sits on the table.
Stop that, Arthur. You have been away from Gwenhyver for too long.	Stop that, Arthur. You have been away from Gwenhyver for too long.
I see no girl, only the matronly felafel seller.	I see no girl, only the matronly felafel seller.
'Tis no more than a little stall with a canopy to keep out the rain and sun, a cauldron of bubbling oil and the felafels, raw and cooked.	'Tis no more than a little stall with a canopy to keep out the rain and sun, a cauldron of bubbling oil and the felafels, raw and cooked.
Ah, it is you! How good to see your face again. If you want a felafel, just speak up.	Ah, it is you! How good to see your face again. If you want a felafel, just speak up.
Fresh, hot felafels for a hungry man. Made from the finest ground chick peas and ground sesame seed. Flavored with parsley, onion and garlic.	Fresh, hot felafels for a hungry man. Made from the finest ground chick peas and ground sesame seed. Flavored with parsley, onion and garlic.
Golden fried felafels cooked in pure sesame oil. If you are hungry, a felafel would work wonders for your belly. See what it has done for mine!	Golden fried felafels cooked in pure sesame oil. If you are hungry, a felafel would work wonders for your belly. See what it has done for mine!
Well, I should not be telling you this, but all day long I cook felafels. Every day I eat felafels. Not that they are not delicious!	Well, I should not be telling you this, but all day long I cook felafels. Every day I eat felafels. Not that they are not delicious!
But even I am tired of felafels. I dream of lamb! A nice, fresh cut of lamb. Lamb and felafel! Oi, that would be Paradise.	But even I am tired of felafels. I dream of lamb! A nice, fresh cut of lamb. Lamb and felafel! Oi, that would be Paradise.
I do not mind paying his prices, but I am terrified of the meat merchant, that evil-tempered ox! That is why I go without lamb.	I do not mind paying his prices, but I am terrified of the meat merchant, that evil-tempered ox! That is why I go without lamb.
Do not try to cheat me now! No coin, no felafel.	Do not try to cheat me now! No coin, no felafel.
You can carry no more felafels without making a mess of yourself.	You can carry no more felafels without making a mess of yourself.
They are not very good uncooked.	They are not very good uncooked.
Only 1 fals for one of my delicious felafels.	Only 1 fals for one of my delicious felafels.
Gluttony is what the Christians call one of the Seven Deadly Sins, you know. That is quite enough with the felafels already.	Gluttony is what the Christians call one of the Seven Deadly Sins, you know. That is quite enough with the felafels already.
I rather doubt she would wish to part with that.	I rather doubt she would wish to part with that.
I have been craving a bit of lamb. Thank you for bringing it.	I have been craving a bit of lamb. Thank you for bringing it.
Why are you asking ME?	Why are you asking ME?
That would be like giving wool to the sheep, do you not think?	That would be like giving wool to the sheep, do you not think?
I have no room for it, thank you all the same.	I have no room for it, thank you all the same.
Really, you are too kind, but I could not take it.	Really, you are too kind, but I could not take it.
Very pretty. Maybe my neighbor, Ibrahim, would be interested.	Very pretty. Maybe my neighbor, Ibrahim, would be interested.
What, do I look rich?	What, do I look rich?
Buy another one, if you please.	Buy another one, if you please.
You mean like a cup? Farabi across the street sells cups.	You mean like a cup? Farabi across the street sells cups.
Galahad? What a strange name.	Galahad? What a strange name.
I am cooking felafels, of course.	I am cooking felafels, of course.
He simply appeared days ago and never says a word. An orphan, no doubt.	He simply appeared days ago and never says a word. An orphan, no doubt.
I use very fine ingredients in my felafels.	I use very fine ingredients in my felafels.
I cook the felafels in my cauldron, until they are just right.	I cook the felafels in my cauldron, until they are just right.
He knows cloth well, but he has much to learn about women.	He knows cloth well, but he has much to learn about women.
I cannot help you with that.	I cannot help you with that.
Help yourself.	Help yourself.
But you must eat it quickly or it will crumble. My felafels are as delicate as they are delicious.	But you must eat it quickly or it will crumble. My felafels are as delicate as they are delicious.
I can sense how much you enjoyed that crisp, hot felafel.	I can sense how much you enjoyed that crisp, hot felafel.
I fail to see how you could have enjoyed that with the eyes of that poor hungry urchin upon you.	I fail to see how you could have enjoyed that with the eyes of that poor hungry urchin upon you.
Under Sarah's care, he will be happy and healthy. Right you are to feel proud of this deed.	Under Sarah's care, he will be happy and healthy. Right you are to feel proud of this deed.
He is only a young boy, a half-starved, ragged urchin who is surely alone in the world. What a pathetic sight!	He is only a young boy, a half-starved, ragged urchin who is surely alone in the world. What a pathetic sight!
