Ask the Harbourmaster about that.	Ask the Harbourmaster about that.
They are ports held by Muslim rulers.	They are ports held by Muslim rulers.
Brittany, or Bretagne, is held by wild and unruly Celtic tribes known as Gauls.	Brittany, or Bretagne, is held by wild and unruly Celtic tribes known as Gauls.
Dublin is on the island of Eire.	Dublin is on the island of Eire.
Rennes is in the land of the Franks, across the channel.	Rennes is in the land of the Franks, across the channel.
Rome was once the center of the Roman Empire, but the power of this ancient city has much declined.	Rome was once the center of the Roman Empire, but the power of this ancient city has much declined.
Thessalonica is in northern Greece, above Athens.	Thessalonica is in northern Greece, above Athens.
Gaza is at the easternmost end of the Mediterranean Sea.	Gaza is at the easternmost end of the Mediterranean Sea.
An Irish legend says Conal Cearnach was a prisoner of the Romans in Jerusalem and witnessed the crucifixion of Christ.	An Irish legend says Conal Cearnach was a prisoner of the Romans in Jerusalem and witnessed the crucifixion of Christ.
Frastrada was a wife of Charlemagne, ruler of the Franks.  Rumour said she was a witch from the East.	Frastrada was a wife of Charlemagne, ruler of the Franks.  Rumour said she was a witch from the East.
The legendary founders of Rome were twin brothers, Remus and Romulus, who were suckled by a she-wolf.	The legendary founders of Rome were twin brothers, Remus and Romulus, who were suckled by a she-wolf.
The powerful Greek Goddess, Athene, is the patroness of sailors.  The city of Athens is named after her.	The powerful Greek Goddess, Athene, is the patroness of sailors.  The city of Athens is named after her.
The name Al-Uzza, means "Powerful One".  It was the title of an Arabic Goddess associated with the founding of Mohammed's tribe.	The name Al-Uzza, means "Powerful One".  It was the title of an Arabic Goddess associated with the founding of Mohammed's tribe.
That is a matter to discuss with the Harbourmaster.	That is a matter to discuss with the Harbourmaster.
This is a foreign merchant's ship, not subject to your whim, King Arthur.	This is a foreign merchant's ship, not subject to your whim, King Arthur.
That is work for sailors, not a warrior-king.	That is work for sailors, not a warrior-king.
He is doing his duty and will move only when he should move.  As a king, you must set an example and respect him as master of this port.	He is doing his duty and will move only when he should move.  As a king, you must set an example and respect him as master of this port.
Not a wise idea, Arthur.	Not a wise idea, Arthur.
Arthur! Do not disgrace yourself by threatening this good man.	Arthur! Do not disgrace yourself by threatening this good man.
I do not mean to anger you, m'lud, but it is my duty to collect fare before a passenger may board a ship.	I do not mean to anger you, m'lud, but it is my duty to collect fare before a passenger may board a ship.
The purse itself is of no value to him.  And you may yet need it.	The purse itself is of no value to him.  And you may yet need it.
You already did that during your ride here.  No need to do it again now.	You already did that during your ride here.  No need to do it again now.
That would be absurd.	That would be absurd.
The sharp tang of salt water mingles with the pungent smell of fish.	The sharp tang of salt water mingles with the pungent smell of fish.
The wooden ship creaks and bumps against the pier.  Water washes across wood and stone and waves dash upon the shore.  Seagulls cry raucously from above.	The wooden ship creaks and bumps against the pier.  Water washes across wood and stone and waves dash upon the shore.  Seagulls cry raucously from above.
You must be on a horse to get off a horse.	You must be on a horse to get off a horse.
Enter destination:	Enter destination:
Weary days and nights march on. A storm catches the ship and you are forced to lend your strong back to the efforts of the crew to save themselves.	Weary days and nights march on. A storm catches the ship and you are forced to lend your strong back to the efforts of the crew to save themselves.
Huge waves crash across the decks. You barely save your mule, but your pack and nearly all your belongings are washed away.	Huge waves crash across the decks. You barely save your mule, but your pack and nearly all your belongings are washed away.
The next day, the Captain thanks you by giving good advice, "You are not a king in these lands, so do not be quick to draw your sword for you will be surrounded by enemies. Be careful who you trust and never pay bribes with too much coin."	The next day, the Captain thanks you by giving good advice, "You are not a king in these lands, so do not be quick to draw your sword for you will be surrounded by enemies. Be careful who you trust and never pay bribes with too much coin."
You join the crew in sharing several rounds of wine as they wait for the tide to change so they may enter Gaza port.	You join the crew in sharing several rounds of wine as they wait for the tide to change so they may enter Gaza port.
The wine flows freely after such a long and arduous journey. Soon, you fall into a very deep, dreamless sleep.	The wine flows freely after such a long and arduous journey. Soon, you fall into a very deep, dreamless sleep.
The skilled Captain beats past Celtic Brittany with all speed thanks to good winds.	The skilled Captain beats past Celtic Brittany with all speed thanks to good winds.
At Malaga you get your first sight of those who worship Islam.  Their manners and dress are strange to you, yet they are hospitable to any man who worships the one god, no matter by what name he is called.	At Malaga you get your first sight of those who worship Islam.  Their manners and dress are strange to you, yet they are hospitable to any man who worships the one god, no matter by what name he is called.
In Tunis the worshippers of Allah seem much the same but are ruled instead by the Aghlabid Emirate under the Abbasid Empire.	In Tunis the worshippers of Allah seem much the same but are ruled instead by the Aghlabid Emirate under the Abbasid Empire.
As you approach Athens, a corsair filled with Saracen pirates overtakes your ship.	As you approach Athens, a corsair filled with Saracen pirates overtakes your ship.
You fight like the great warrior you are, but the Saracens are many and merciless. You are finally cut down and thrown to the fish.	You fight like the great warrior you are, but the Saracens are many and merciless. You are finally cut down and thrown to the fish.
A quick voyage brings you to the northern coast of Brittany where you are tragically dashed to death upon jagged rocks.	A quick voyage brings you to the northern coast of Brittany where you are tragically dashed to death upon jagged rocks.
Many days and nights pass in cramped discomfort.  The coastline of Muslim-held Iberia glides past.	Many days and nights pass in cramped discomfort.  The coastline of Muslim-held Iberia glides past.
You land briefly in Tunis, ruled by the Muslims of the Aghlabid Emirate under the Abbasid Empire.  Soon you will reach Rome.	You land briefly in Tunis, ruled by the Muslims of the Aghlabid Emirate under the Abbasid Empire.  Soon you will reach Rome.
Approaching Rome, your ship is caught in a powerful storm. You are washed overboard and your armour quickly drags you to the bottom of the sea.	Approaching Rome, your ship is caught in a powerful storm. You are washed overboard and your armour quickly drags you to the bottom of the sea.
Captain beats his way expertly up St. George's Channel toward Dublin.	Captain beats his way expertly up St. George's Channel toward Dublin.
Alas, a longship of crazed Vikings falls upon the ship.  Excaliber sings from its sheath and does mighty work.  The decks run red, but you are overwhelmed and killed in combat with a berserker.	Alas, a longship of crazed Vikings falls upon the ship.  Excaliber sings from its sheath and does mighty work.  The decks run red, but you are overwhelmed and killed in combat with a berserker.
Oh, no, this mukhtar is an evil man and would make you a slave.  He must not find you.	Oh, no, this mukhtar is an evil man and would make you a slave.  He must not find you.
Oh, sir, I could not keep her.  And you will need her for your journey.	Oh, sir, I could not keep her.  And you will need her for your journey.
I am not allowed to accept gifts, sir, except from my Master.	I am not allowed to accept gifts, sir, except from my Master.
I am not allowed to accept gifts for doing my duty, sir.	I am not allowed to accept gifts for doing my duty, sir.
You cannot seek it in Gaza, sir, or the mukhtar will imprison you.  Perhaps my Master can help you with this problem.	You cannot seek it in Gaza, sir, or the mukhtar will imprison you.  Perhaps my Master can help you with this problem.
I have never been anywhere but Gaza, but my Master can surely answer you.	I have never been anywhere but Gaza, but my Master can surely answer you.
It is true my Master is poor, but he is a good man and he knows so many things.  And while you speak with Al-Sirat, I can care for your poor mule after her long sea journey.	It is true my Master is poor, but he is a good man and he knows so many things.  And while you speak with Al-Sirat, I can care for your poor mule after her long sea journey.
Please do not delay long, sir.  Gaza is no longer safe for foreigners and no man here will aid you in any way except my Master.	Please do not delay long, sir.  Gaza is no longer safe for foreigners and no man here will aid you in any way except my Master.
Sa'alam aleikem	Sa'alam aleikem
Sa'alam aleikem.  Peace be unto you.	Sa'alam aleikem.  Peace be unto you.
He is a young boy, poor but healthy, with an open, honest face and intelligence in his eyes.	He is a young boy, poor but healthy, with an open, honest face and intelligence in his eyes.
Please come and ask my Master.  He knows so much more than I.	Please come and ask my Master.  He knows so much more than I.
Al-Sirat will know.  He is the most learned of men.	Al-Sirat will know.  He is the most learned of men.
He did not choose to visit my Master, but hurried off into the desert alone.	He did not choose to visit my Master, but hurried off into the desert alone.
Sir, my Master is the wisest man in the whole world.  He can answer any question.  Please, let us go to him.	Sir, my Master is the wisest man in the whole world.  He can answer any question.  Please, let us go to him.
Ignore the brat and let us do business.  The mukhtar could have spies about, so we should act quickly.  You have no pack, I see, and no waterskin.  You can buy nothing in Gaza without being arrested.	Ignore the brat and let us do business.  The mukhtar could have spies about, so we should act quickly.  You have no pack, I see, and no waterskin.  You can buy nothing in Gaza without being arrested.
Therefore, you must surely hire me to take you through the desert and lead you from one waterhole to the next. That is the only way you will reach Jerusalem alive.	Therefore, you must surely hire me to take you through the desert and lead you from one waterhole to the next. That is the only way you will reach Jerusalem alive.
You want to avoid the mukhtar.  I give you good advice.  Trust me in all things.	You want to avoid the mukhtar.  I give you good advice.  Trust me in all things.
No man in Gaza will deal with you because of the mukhtar's edicts.  If you are spotted by his men, you will be arrested.	No man in Gaza will deal with you because of the mukhtar's edicts.  If you are spotted by his men, you will be arrested.
Most generous, habib.  She will make a fine payment for being your guide, if you let me take you to Jerusalem.	Most generous, habib.  She will make a fine payment for being your guide, if you let me take you to Jerusalem.
An odd looking trinket, but of no interest to me.	An odd looking trinket, but of no interest to me.
I am content to wait until I bring you safely to Jerusalem to receive my reward.	I am content to wait until I bring you safely to Jerusalem to receive my reward.
Trust me in all things.  Only I know the secret paths of the desert and where to find water.  Only I can guide you safely through.	Trust me in all things.  Only I know the secret paths of the desert and where to find water.  Only I can guide you safely through.
He looks a dry and hard man, as one might look from a lifetime in harsh deserts.	He looks a dry and hard man, as one might look from a lifetime in harsh deserts.
